treeID,CI,CIVE,CRI1,IF,GLI,NGBDI,MGRVI,RGBVI,ExG,ExR,EXGR,NRed,NBlue,NGreen,HUE,INT,VARIgreen
215,0.229597,-15.536089,0.002659,-5.647577,0.107265,0.046406,0.092561,0.220774,63.482370,94.670522,-31.188152,0.348875,0.268281,0.382844,1.174214,143.763047,0.073446
216,0.227942,-14.358643,0.002624,-5.622920,0.101985,0.041678,0.083112,0.210049,60.377997,96.561354,-36.183357,0.349850,0.269817,0.380333,1.229346,146.885284,0.066021
217,0.168002,-9.596606,0.001517,-8.373792,0.069541,0.025677,0.051303,0.142769,46.572638,97.662623,-51.089986,0.346719,0.288277,0.365004,1.278449,165.489892,0.043160
218,0.153253,7.153327,0.000557,-18.923860,0.006299,-0.033626,-0.067157,0.016274,4.743300,113.392666,-108.649365,0.359584,0.304272,0.336143,0.612651,190.273625,-0.059516
219,0.228045,-11.758405,0.002116,-6.126915,0.084085,0.023662,0.047276,0.175254,53.425952,103.761072,-50.335120,0.354593,0.273580,0.371827,1.210429,155.521392,0.037793
220,0.193713,-14.361722,0.002595,-5.987521,0.109255,0.058598,0.116717,0.221542,61.258110,82.653879,-21.395769,0.341255,0.274969,0.383775,1.157042,136.009403,0.094351
221,0.196749,-10.618694,0.002206,-6.722531,0.088775,0.036942,0.073691,0.182615,51.823695,90.061213,-38.237518,0.347480,0.278476,0.374044,1.111238,143.540668,0.060772
222,0.234200,-12.335145,0.002997,-5.394865,0.106382,0.044353,0.088449,0.219070,57.428773,88.183075,-30.754302,0.349908,0.267680,0.382412,1.253300,132.095440,0.069926
223,0.267762,-15.540008,0.003155,-4.715601,0.113337,0.041793,0.083326,0.235512,64.413258,99.006206,-34.592948,0.354795,0.259453,0.385752,1.243723,139.177715,0.064402
224,0.229975,-7.380812,0.001773,-6.750006,0.064243,0.003148,0.006294,0.136628,42.513399,110.762200,-68.248801,0.360279,0.277192,0.362529,1.074494,162.916314,0.005242
225,0.059152,4.076937,0.000266,-37.031613,0.011063,-0.003952,-0.007903,0.022598,9.015515,95.307757,-86.292243,0.340955,0.320775,0.338270,0.927768,202.993418,-0.007476
