treeID,mean475,mean560,mean668,mean717,mean842,median475,median560,median668,median717,median842,mean_bright475,mean_bright560,mean_bright668,mean_bright717,mean_bright842,median_bright475,median_bright560,median_bright668,median_bright717,median_bright842,mean_dark475,mean_dark560,mean_dark668,mean_dark717,mean_dark842,median_dark475,median_dark560,median_dark668,median_dark717,median_dark842,mean_6max475,mean_6max560,mean_6max668,mean_6max717,mean_6max842,median_6max475,median_6max560,median_6max668,median_6max717,median_6max842,meanNormalized475,meanNormalized560,meanNormalized668,meanNormalized717,meanNormalized842,continuumRemovedMean475,continuumRemovedMean560,continuumRemovedMean668,continuumRemovedMean717,continuumRemovedMean842
113,0.024957,0.062884,0.036518,0.136280,0.323587,0.025116,0.063324,0.036041,0.136200,0.321625,0.028950,0.074844,0.045157,0.162130,0.376292,0.028229,0.073700,0.042755,0.160233,0.367844,0.020736,0.050405,0.028608,0.110515,0.273071,0.021408,0.051651,0.029526,0.113068,0.277832,0.039388,0.093781,0.072550,0.205500,0.475296,0.038773,0.092300,0.072784,0.204025,0.472977,0.069434,0.174953,0.101599,0.379154,0.900272,1.000000,0.631272,0.209545,0.547465,1.000000
114,0.022161,0.059615,0.031404,0.133754,0.300852,0.022675,0.060760,0.031219,0.135406,0.298492,0.025455,0.071988,0.038592,0.160787,0.362585,0.024796,0.070267,0.036880,0.156540,0.354065,0.018111,0.046451,0.024333,0.104991,0.242450,0.018311,0.046967,0.024445,0.105804,0.249146,0.033803,0.094386,0.058716,0.212733,0.478338,0.033813,0.093414,0.058456,0.213470,0.479065,0.065798,0.177006,0.093244,0.397133,0.893270,1.000000,0.649166,0.194447,0.578571,1.000000
115,0.023423,0.055529,0.031669,0.123336,0.320558,0.023224,0.054504,0.031067,0.121216,0.321503,0.026416,0.064376,0.036655,0.142773,0.380885,0.026154,0.062775,0.035278,0.138947,0.374725,0.020682,0.048139,0.027505,0.106335,0.260035,0.020935,0.048615,0.027832,0.107239,0.265930,0.034286,0.083150,0.051671,0.185537,0.478968,0.034195,0.082779,0.051224,0.186218,0.478989,0.066893,0.158587,0.090445,0.352237,0.915491,1.000000,0.568327,0.184134,0.500805,1.000000
116,0.027312,0.067090,0.045008,0.150923,0.310547,0.026306,0.067383,0.041412,0.150269,0.311523,0.032399,0.075888,0.058924,0.173259,0.350349,0.030609,0.074890,0.056000,0.169250,0.345169,0.023439,0.058031,0.035161,0.129233,0.268747,0.023834,0.059402,0.035492,0.131073,0.274231,0.049057,0.093633,0.088582,0.237991,0.432307,0.047638,0.093460,0.088547,0.239182,0.429062,0.076795,0.188639,0.126549,0.424353,0.873171,1.000000,0.683750,0.266429,0.629532,1.000000
117,0.025079,0.061167,0.037787,0.135527,0.304584,0.024689,0.059784,0.035187,0.133301,0.302551,0.028240,0.071903,0.048016,0.162466,0.362378,0.028015,0.070831,0.044739,0.159821,0.357666,0.022387,0.051592,0.031160,0.111656,0.248827,0.022675,0.052841,0.031326,0.113220,0.255417,0.035833,0.092280,0.078176,0.216370,0.462173,0.035828,0.091980,0.077698,0.213547,0.458710,0.073340,0.178872,0.110500,0.396324,0.890698,1.000000,0.644168,0.229245,0.577430,1.000000
118,0.030353,0.075418,0.049323,0.160715,0.317818,0.029938,0.075928,0.046814,0.161224,0.319519,0.034912,0.086810,0.063574,0.186594,0.360689,0.034210,0.085556,0.059952,0.183502,0.355591,0.026123,0.062975,0.039240,0.134238,0.273089,0.026855,0.065704,0.040344,0.136383,0.277740,0.046178,0.107279,0.098511,0.239034,0.447545,0.045837,0.107101,0.098877,0.237656,0.441940,0.082342,0.204596,0.133805,0.435993,0.862187,1.000000,0.737807,0.283327,0.653442,1.000000
119,0.030729,0.069477,0.043931,0.146007,0.301799,0.030945,0.073059,0.044769,0.150299,0.302734,0.036675,0.079605,0.053830,0.169071,0.345401,0.035126,0.079330,0.052124,0.166016,0.340576,0.024278,0.054471,0.033119,0.117659,0.257479,0.026276,0.058502,0.035553,0.124084,0.264801,0.059875,0.100459,0.078339,0.212402,0.421636,0.060333,0.100449,0.078171,0.209793,0.418640,0.088670,0.200479,0.126764,0.421307,0.870849,1.000000,0.705380,0.264224,0.623878,1.000000
120,0.026781,0.059583,0.039054,0.131457,0.290109,0.025818,0.059387,0.036987,0.129181,0.290588,0.032362,0.069977,0.049761,0.155385,0.332086,0.030945,0.068573,0.046631,0.150177,0.323425,0.022270,0.049358,0.030902,0.109973,0.246882,0.022522,0.050995,0.031418,0.113739,0.257339,0.047587,0.090418,0.086884,0.217723,0.423960,0.047501,0.089691,0.086807,0.217957,0.421875,0.081781,0.181950,0.119261,0.401431,0.885910,1.000000,0.643356,0.246485,0.586136,1.000000
121,0.023287,0.063550,0.032287,0.136272,0.299509,0.023346,0.066467,0.031189,0.140991,0.312805,0.026857,0.076677,0.041003,0.165276,0.349815,0.026184,0.075089,0.038376,0.161469,0.345490,0.019658,0.047202,0.025426,0.101551,0.231208,0.020401,0.047943,0.026825,0.103424,0.236801,0.036926,0.101354,0.071370,0.224365,0.451289,0.035446,0.100601,0.069595,0.226028,0.447906,0.069000,0.188303,0.095668,0.403783,0.887462,1.000000,0.688201,0.200045,0.591323,1.000000
122,0.033903,0.080801,0.057869,0.178181,0.314302,0.034119,0.083466,0.059296,0.178223,0.312927,0.039398,0.091594,0.069213,0.208555,0.359235,0.037766,0.091003,0.067398,0.207611,0.352493,0.027822,0.065649,0.044641,0.147707,0.271235,0.029724,0.070374,0.048218,0.157410,0.279968,0.057460,0.109365,0.094345,0.254044,0.434692,0.056808,0.110016,0.094543,0.253540,0.430283,0.090108,0.214756,0.153807,0.473575,0.835362,1.000000,0.776915,0.332386,0.729645,1.000000
123,0.029397,0.072913,0.045968,0.155374,0.305048,0.029053,0.075195,0.044281,0.159210,0.311768,0.036655,0.088689,0.061229,0.188402,0.352607,0.035370,0.087463,0.058624,0.185455,0.349365,0.022664,0.054026,0.032708,0.118103,0.248486,0.023346,0.055145,0.032867,0.118896,0.255646,0.056320,0.110128,0.088440,0.252019,0.455577,0.056183,0.109680,0.088287,0.251221,0.452591,0.082985,0.205827,0.129764,0.438608,0.861123,1.000000,0.741665,0.274892,0.657989,1.000000
124,0.023557,0.064691,0.033963,0.140856,0.310628,0.023285,0.063538,0.032379,0.138580,0.309418,0.028373,0.079578,0.044260,0.172578,0.361871,0.027527,0.077515,0.042572,0.169022,0.358810,0.019233,0.050881,0.025694,0.111620,0.260215,0.019714,0.052902,0.026398,0.112030,0.260803,0.040766,0.107422,0.066956,0.224264,0.453328,0.040451,0.107697,0.063324,0.224609,0.453400,0.067382,0.185041,0.097146,0.402900,0.888512,1.000000,0.678639,0.203257,0.589700,1.000000
125,0.023598,0.051757,0.030559,0.116833,0.321440,0.023468,0.050934,0.029449,0.113251,0.317963,0.026924,0.060183,0.036476,0.137728,0.375245,0.025757,0.058899,0.035110,0.134628,0.365738,0.020431,0.044435,0.025777,0.099494,0.272496,0.020874,0.045334,0.026337,0.100494,0.275696,0.042130,0.078603,0.056849,0.185089,0.482239,0.041534,0.078537,0.055359,0.184219,0.481308,0.067799,0.148702,0.087799,0.335674,0.923529,1.000000,0.527815,0.177133,0.473049,1.000000
126,0.026203,0.063904,0.046892,0.147957,0.314478,0.026215,0.064087,0.043213,0.147034,0.323517,0.030968,0.077585,0.064981,0.182050,0.361532,0.030457,0.076477,0.063934,0.179901,0.358246,0.021424,0.049998,0.032463,0.114850,0.254701,0.022049,0.051514,0.032440,0.117493,0.259048,0.041000,0.102890,0.096227,0.232412,0.443400,0.041138,0.103500,0.094666,0.230240,0.442276,0.073311,0.178787,0.131192,0.413945,0.879829,1.000000,0.650275,0.275283,0.610359,1.000000
127,0.027236,0.060865,0.036108,0.126811,0.268115,0.026489,0.061279,0.035156,0.124695,0.271088,0.033347,0.070598,0.044727,0.150711,0.315237,0.031464,0.069214,0.043152,0.148743,0.313080,0.022296,0.050775,0.028618,0.105908,0.217650,0.023163,0.053406,0.029480,0.109772,0.223846,0.047501,0.088282,0.077520,0.190603,0.378606,0.047241,0.087433,0.075195,0.191605,0.377380,0.088967,0.198819,0.117948,0.414236,0.875815,1.000000,0.695951,0.244506,0.609975,1.000000
128,0.022356,0.058290,0.029400,0.127447,0.327607,0.022217,0.058014,0.027649,0.126984,0.328094,0.026377,0.069790,0.037764,0.151238,0.381418,0.025818,0.068268,0.034912,0.147537,0.377686,0.018527,0.047197,0.022860,0.104344,0.273265,0.018845,0.047806,0.023300,0.105438,0.278137,0.035507,0.093531,0.068980,0.199570,0.489833,0.035492,0.093323,0.066422,0.197769,0.489105,0.062405,0.162717,0.082070,0.355765,0.914508,1.000000,0.590771,0.168018,0.507162,1.000000
129,0.022701,0.056914,0.032660,0.124311,0.278255,0.023071,0.055573,0.032257,0.119537,0.268433,0.028084,0.071803,0.043394,0.155643,0.329549,0.027939,0.070404,0.040649,0.152832,0.324066,0.017048,0.042921,0.022438,0.096728,0.238145,0.016724,0.042313,0.021500,0.096115,0.240250,0.038340,0.097031,0.072266,0.205516,0.409271,0.038071,0.096741,0.072067,0.205429,0.408157,0.072627,0.182084,0.104488,0.397707,0.890215,1.000000,0.657286,0.217042,0.579901,1.000000
130,0.030045,0.071068,0.044620,0.148926,0.288984,0.029388,0.070343,0.040619,0.146149,0.290100,0.035467,0.084230,0.060805,0.179064,0.331398,0.035110,0.083084,0.057251,0.171417,0.326294,0.025604,0.059096,0.035365,0.121689,0.245306,0.026276,0.060486,0.035858,0.122421,0.245453,0.045390,0.108215,0.091334,0.238388,0.394541,0.044876,0.107269,0.091156,0.237717,0.393066,0.089128,0.210824,0.132364,0.441788,0.857270,1.000000,0.749827,0.279722,0.664108,1.000000
131,0.024126,0.055597,0.035848,0.120428,0.274557,0.023895,0.054688,0.033295,0.118408,0.277557,0.027604,0.065670,0.046192,0.143370,0.312879,0.027008,0.064270,0.043961,0.139587,0.308350,0.020920,0.046434,0.028627,0.100752,0.232429,0.021484,0.047913,0.029114,0.103226,0.238876,0.034526,0.084457,0.074814,0.187831,0.382146,0.034393,0.084656,0.074249,0.186722,0.379227,0.078339,0.180529,0.116402,0.391043,0.891520,1.000000,0.641007,0.240040,0.568190,1.000000
132,0.029981,0.068293,0.051316,0.153539,0.304309,0.029694,0.068390,0.047180,0.151489,0.310394,0.034350,0.077112,0.070080,0.181980,0.342855,0.033844,0.076355,0.067322,0.177582,0.340240,0.025928,0.059092,0.038567,0.128501,0.257859,0.026260,0.060532,0.038513,0.131073,0.261612,0.045308,0.095907,0.099798,0.240723,0.432917,0.044388,0.094315,0.100067,0.238205,0.433197,0.085012,0.193647,0.145509,0.435365,0.862878,1.000000,0.692887,0.307016,0.651343,1.000000
133,0.029409,0.057438,0.039656,0.121908,0.267475,0.028198,0.056976,0.038025,0.119537,0.261353,0.036716,0.068349,0.050757,0.145242,0.315509,0.034286,0.066833,0.048462,0.144562,0.309372,0.023881,0.047382,0.030564,0.102027,0.225463,0.024567,0.048492,0.031036,0.104065,0.230713,0.063385,0.092377,0.079936,0.184169,0.406728,0.064087,0.091537,0.080170,0.180588,0.402847,0.096883,0.189224,0.130641,0.401610,0.881164,1.000000,0.645917,0.267146,0.586212,1.000000
134,0.033993,0.068200,0.052422,0.137678,0.236655,0.034515,0.071320,0.053467,0.139648,0.238770,0.039083,0.079458,0.063085,0.165133,0.280539,0.038574,0.078613,0.060806,0.161987,0.276520,0.028017,0.053612,0.040623,0.107692,0.191168,0.029434,0.054169,0.042755,0.108429,0.191772,0.052678,0.099584,0.093852,0.213837,0.364339,0.052856,0.099945,0.093231,0.214493,0.362701,0.117625,0.235995,0.181396,0.476409,0.818902,1.000000,0.805597,0.387379,0.740245,1.000000
135,0.022589,0.051142,0.034858,0.116119,0.265726,0.022247,0.051086,0.032410,0.110901,0.256866,0.026206,0.059263,0.045592,0.142722,0.326229,0.025345,0.058136,0.041290,0.137878,0.320053,0.019467,0.043204,0.028322,0.095040,0.215516,0.020142,0.044083,0.029175,0.097000,0.216217,0.038055,0.079519,0.082667,0.203751,0.431361,0.036224,0.079391,0.081558,0.204803,0.428238,0.075961,0.171974,0.117218,0.390476,0.893557,1.000000,0.613404,0.241807,0.566598,1.000000
136,0.023073,0.054161,0.035510,0.116792,0.255307,0.022400,0.053925,0.033417,0.115173,0.255829,0.027213,0.061630,0.044334,0.135677,0.292552,0.025970,0.060608,0.042175,0.133453,0.287796,0.020083,0.047096,0.029555,0.100274,0.217201,0.020248,0.047668,0.029785,0.100769,0.220673,0.043605,0.079203,0.072942,0.179092,0.374074,0.043488,0.079132,0.071091,0.178238,0.373291,0.079823,0.187378,0.122851,0.404056,0.883269,1.000000,0.667574,0.255118,0.592104,1.000000
