treeID,meanSpectra475,meanSpectra560,meanSpectra668,meanSpectra717,meanSpectra842,medianSpectra475,medianSpectra560,medianSpectra668,medianSpectra717,medianSpectra842,meanSpectra_bright475,meanSpectra_bright560,meanSpectra_bright668,meanSpectra_bright717,meanSpectra_bright842,medianSpectra_bright475,medianSpectra_bright560,medianSpectra_bright668,medianSpectra_bright717,medianSpectra_bright842,meanSpectra_dark475,meanSpectra_dark560,meanSpectra_dark668,meanSpectra_dark717,meanSpectra_dark842,medianSpectra_dark475,medianSpectra_dark560,medianSpectra_dark668,medianSpectra_dark717,medianSpectra_dark842,meanSpectra_6max475,meanSpectra_6max560,meanSpectra_6max668,meanSpectra_6max717,meanSpectra_6max842,medianSpectra_6max475,medianSpectra_6max560,medianSpectra_6max668,medianSpectra_6max717,medianSpectra_6max842,meanSpectraNormalized475,meanSpectraNormalized560,meanSpectraNormalized668,meanSpectraNormalized717,meanSpectraNormalized842,continuumRemovedMeanSpectra475,continuumRemovedMeanSpectra560,continuumRemovedMeanSpectra668,continuumRemovedMeanSpectra717,continuumRemovedMeanSpectra842,ARVI,ARVI2,BNDVI,BWDRVI,CI,CIG,CIVE,CRI1,CVI,DATT1,DATT6,ExG,EXGR,ExR,EVI,GLI,GBNDVI,GNDVI1,IF,LCI,LogR,MGRVI,mSR,MSR1,MTVI1,NBlue,NDRE,NDVI,NGreen,NRed,OSAVI,RDVI1,RGBVI,SAVI,TCI,
400,0.051781,0.073135,0.087199,0.135995,0.189041,0.052551,0.073822,0.091492,0.136414,0.189789,0.058439,0.082793,0.096159,0.152936,0.209868,0.057892,0.081451,0.097229,0.151245,0.206726,0.044067,0.062791,0.073831,0.118550,0.167594,0.044983,0.063904,0.075699,0.120804,0.169342,0.071187,0.112198,0.101247,0.183263,0.255717,0.071320,0.109818,0.101257,0.180115,0.247589,0.195902,0.276691,0.329898,0.514511,0.715200,1.000000,0.849458,0.724174,0.878942,1.000000,0.214981,0.252210,0.524875,-0.462083,0.404273,1.182094,18.780958,5.839718,3.143889,0.525006,19.750699,0.007290,-0.063007,0.070297,1.120634,0.024081,0.206551,0.443857,-3.569935,0.193288,0.776769,-0.175053,4.097547,0.660516,0.124714,0.243803,0.164492,0.369410,0.344291,0.411905,0.269840,0.193464,0.083096,0.196027,4.001743,
401,0.031432,0.067692,0.050669,0.150320,0.295307,0.029938,0.066071,0.046844,0.145844,0.288971,0.037971,0.079029,0.067007,0.178397,0.338846,0.036346,0.076385,0.063614,0.172623,0.330231,0.026743,0.057969,0.039718,0.127020,0.258456,0.027130,0.058853,0.039978,0.127869,0.261261,0.064657,0.108236,0.103470,0.261195,0.431956,0.060806,0.106705,0.105392,0.258392,0.432785,0.091525,0.197109,0.147542,0.437709,0.859892,1.000000,0.694985,0.310151,0.655449,1.000000,0.627080,0.651736,0.726299,-0.025484,0.352826,5.206998,18.761810,18.018844,3.261993,0.594424,30.702686,0.053283,0.013778,0.039505,0.839538,0.251618,0.497344,0.627248,-2.764006,0.423083,1.797925,0.300338,18.341350,1.914487,0.378834,0.210965,0.328508,0.710886,0.456448,0.332587,0.559258,0.415456,0.490631,0.431565,2.394293,
402,0.025550,0.067191,0.035406,0.148818,0.337450,0.025421,0.063812,0.032745,0.142334,0.331116,0.031327,0.087091,0.048398,0.194988,0.414200,0.030762,0.086349,0.045197,0.192474,0.411880,0.019978,0.049325,0.025446,0.109740,0.265785,0.020203,0.049103,0.025391,0.108536,0.269836,0.043879,0.112473,0.091105,0.258987,0.508138,0.042618,0.112305,0.092056,0.258499,0.506165,0.067699,0.178032,0.093811,0.394311,0.894114,1.000000,0.649034,0.195072,0.573534,1.000000,0.770680,0.770341,0.771405,0.137831,0.238809,9.301446,18.753255,25.533310,2.687552,0.631599,39.634204,0.073427,0.049410,0.024017,0.818835,0.374752,0.570982,0.671795,-2.909909,0.513490,2.296839,0.566206,48.501361,2.729337,0.484530,0.203645,0.395894,0.812258,0.524852,0.271502,0.649220,0.491108,0.657658,0.511143,2.117358,
403,0.028356,0.063394,0.042334,0.137625,0.300494,0.027405,0.063416,0.039917,0.136871,0.294983,0.034684,0.075962,0.055557,0.165731,0.355516,0.033356,0.074280,0.051346,0.161453,0.352386,0.023035,0.050786,0.032594,0.111382,0.252685,0.023682,0.051697,0.033478,0.114105,0.258072,0.051971,0.101583,0.097158,0.226883,0.453618,0.052597,0.099960,0.096649,0.227783,0.451706,0.083309,0.186251,0.124375,0.404340,0.882842,1.000000,0.657685,0.257464,0.592041,1.000000,0.691308,0.703501,0.747252,0.034605,0.305896,6.560346,18.760736,20.849324,3.173596,0.632794,37.782394,0.056099,0.025188,0.030911,0.790130,0.287903,0.532508,0.652690,-2.957290,0.478443,1.992770,0.393706,27.707829,2.213245,0.404606,0.213032,0.374847,0.755129,0.475766,0.311202,0.590988,0.439107,0.541514,0.455163,2.173357,
404,0.018348,0.044244,0.028328,0.109391,0.283405,0.017517,0.042267,0.023315,0.102783,0.282318,0.024352,0.060256,0.046190,0.148182,0.342493,0.022858,0.057449,0.040344,0.142029,0.335693,0.013199,0.030603,0.018187,0.078856,0.225652,0.013458,0.030792,0.018463,0.080353,0.230362,0.042109,0.092260,0.091492,0.232152,0.465098,0.041458,0.091583,0.090179,0.231155,0.463669,0.059409,0.143260,0.091725,0.354202,0.917646,1.000000,0.522907,0.187758,0.503781,1.000000,0.780954,0.788893,0.813632,0.228937,0.278285,11.118025,18.767577,35.887022,4.141037,0.689233,77.563776,0.041813,0.020501,0.021312,0.669563,0.321274,0.647340,0.737973,-2.848218,0.572369,2.425552,0.457154,50.687374,2.993590,0.392139,0.208185,0.456713,0.828114,0.494669,0.297145,0.621727,0.455393,0.588776,0.465518,1.831540,
405,0.022085,0.062529,0.031878,0.144081,0.335596,0.022247,0.063934,0.031158,0.146088,0.346527,0.026116,0.075914,0.041066,0.175062,0.387088,0.025177,0.073792,0.038071,0.171722,0.380936,0.017880,0.047522,0.024354,0.110024,0.273136,0.018814,0.049164,0.025635,0.113556,0.280151,0.038625,0.104401,0.080460,0.245687,0.491918,0.038742,0.103531,0.083023,0.245392,0.486832,0.059280,0.167837,0.085567,0.386737,0.900794,1.000000,0.622405,0.178251,0.560152,1.000000,0.785304,0.789794,0.788939,0.209039,0.274768,10.340076,18.754474,30.965671,2.793101,0.636366,43.779417,0.071094,0.048549,0.022545,0.780399,0.396426,0.600667,0.690165,-2.724600,0.528064,2.395694,0.587982,63.015665,2.907459,0.485167,0.192931,0.406606,0.828884,0.537368,0.269701,0.662364,0.498774,0.688148,0.519872,2.060843,
406,0.028434,0.064698,0.044761,0.145711,0.317294,0.028076,0.065186,0.039886,0.142944,0.324341,0.035236,0.080269,0.065828,0.184477,0.380258,0.034027,0.078369,0.061371,0.176453,0.374146,0.022041,0.048664,0.030831,0.109276,0.244353,0.022354,0.049469,0.030945,0.112000,0.246643,0.052455,0.113266,0.109334,0.274851,0.510218,0.051758,0.112564,0.109848,0.273926,0.503922,0.079196,0.180202,0.124672,0.405843,0.883744,1.000000,0.642813,0.258940,0.594548,1.000000,0.693003,0.707350,0.755107,0.056716,0.306709,7.015134,18.760687,21.122388,3.310199,0.633209,39.255533,0.056202,0.021970,0.034232,0.851953,0.286755,0.545954,0.662859,-2.907248,0.481263,2.026696,0.383443,35.049556,2.283003,0.423549,0.211199,0.376838,0.758418,0.475630,0.313171,0.598694,0.450350,0.539996,0.467210,2.154337,
407,0.024254,0.056145,0.035981,0.130121,0.291286,0.023773,0.056305,0.035217,0.128967,0.290405,0.030056,0.067941,0.046269,0.156394,0.340761,0.028641,0.066711,0.044128,0.154678,0.331955,0.019045,0.044311,0.027041,0.105267,0.243243,0.019958,0.046112,0.028458,0.109955,0.250946,0.051585,0.094472,0.082174,0.208664,0.431661,0.051758,0.092117,0.080460,0.204742,0.431396,0.074211,0.171790,0.110092,0.398138,0.891261,1.000000,0.616899,0.228059,0.579532,1.000000,0.725051,0.735823,0.769308,0.101682,0.304800,7.736186,18.762741,26.096344,3.345242,0.632870,44.837390,0.052056,0.025936,0.026119,0.724831,0.306839,0.569870,0.679270,-2.915551,0.495988,2.132379,0.428439,24.117565,2.443852,0.399096,0.209192,0.385596,0.782755,0.486145,0.304663,0.602830,0.444438,0.569320,0.458479,2.108512,
408,0.021104,0.052324,0.029783,0.117676,0.298163,0.021210,0.050476,0.028687,0.112762,0.287292,0.025719,0.068482,0.038951,0.153460,0.380019,0.024933,0.066940,0.035828,0.150574,0.372421,0.016289,0.037818,0.022024,0.086988,0.228424,0.017151,0.038879,0.022675,0.089264,0.232758,0.037099,0.099304,0.078334,0.220398,0.502457,0.036758,0.098557,0.078644,0.220352,0.501740,0.064571,0.160096,0.091127,0.360050,0.912283,1.000000,0.579012,0.186573,0.514096,1.000000,0.775625,0.778440,0.791471,0.168357,0.264182,9.495434,18.762162,29.740104,3.389352,0.677560,58.969865,0.053762,0.033169,0.020593,0.700506,0.338376,0.607389,0.705878,-2.954310,0.555248,2.328425,0.501180,47.926038,2.776797,0.421630,0.209155,0.439636,0.819180,0.503836,0.287010,0.625451,0.463532,0.610300,0.476047,1.906679,
409,0.023414,0.058276,0.033823,0.134466,0.330902,0.022919,0.057831,0.032379,0.133575,0.326599,0.027470,0.067713,0.041627,0.156262,0.386148,0.026337,0.066864,0.039246,0.153625,0.380508,0.020113,0.049522,0.027959,0.113981,0.281945,0.020309,0.050812,0.028305,0.116684,0.288086,0.042831,0.085347,0.072149,0.196615,0.481995,0.041214,0.083176,0.072540,0.193207,0.482208,0.064282,0.159998,0.092861,0.369176,0.908490,1.000000,0.581104,0.190921,0.529332,1.000000,0.762678,0.770086,0.788080,0.170241,0.295127,9.220541,18.759589,26.604985,3.292563,0.661718,44.367906,0.059316,0.035377,0.023939,0.779373,0.342140,0.601434,0.699445,-2.816487,0.537571,2.293303,0.494264,32.801236,2.720157,0.465940,0.203293,0.421934,0.812039,0.505992,0.290715,0.650690,0.489114,0.617031,0.510514,1.965925,
410,0.021618,0.051127,0.030899,0.115950,0.295826,0.021393,0.050964,0.029358,0.115448,0.303864,0.025842,0.064536,0.041416,0.148148,0.365581,0.025024,0.063416,0.039047,0.145416,0.361908,0.017851,0.037849,0.022944,0.084887,0.221609,0.018509,0.038864,0.023773,0.087891,0.229462,0.038813,0.091003,0.078629,0.209203,0.479762,0.038773,0.090591,0.074646,0.209122,0.474365,0.066718,0.157787,0.095361,0.357839,0.912967,1.000000,0.567008,0.194676,0.510175,1.000000,0.766826,0.768590,0.788085,0.146120,0.255121,9.163065,18.763907,26.926655,3.540858,0.683625,59.850673,0.049737,0.028096,0.021641,0.700080,0.316273,0.602881,0.706759,-3.133111,0.554572,2.286548,0.465966,51.837241,2.708852,0.413050,0.215101,0.441821,0.810761,0.491574,0.293324,0.618895,0.458432,0.579054,0.471088,1.892456,
411,0.026464,0.064697,0.045337,0.146229,0.323752,0.025330,0.064178,0.039703,0.144623,0.323395,0.032414,0.077766,0.064729,0.176955,0.371268,0.031006,0.075958,0.060211,0.173920,0.365997,0.021842,0.052252,0.031891,0.118462,0.277309,0.022003,0.052597,0.032104,0.119064,0.283279,0.049764,0.105779,0.108200,0.236089,0.461655,0.050354,0.104614,0.108231,0.235107,0.458038,0.072528,0.177309,0.124250,0.400756,0.887275,1.000000,0.641924,0.258907,0.586254,1.000000,0.684159,0.710156,0.766066,0.106234,0.362660,7.143279,18.760184,23.682083,3.426020,0.640387,37.641676,0.057593,0.020586,0.037007,0.844195,0.298648,0.562642,0.669188,-2.508498,0.487496,2.040377,0.374332,26.418542,2.306681,0.431121,0.197146,0.382682,0.760817,0.482382,0.320472,0.609102,0.458065,0.564078,0.477865,2.111518,
412,0.021551,0.048409,0.029970,0.113586,0.299222,0.021271,0.047577,0.028900,0.111664,0.295685,0.026053,0.059528,0.038194,0.139256,0.354121,0.025284,0.057953,0.035980,0.134827,0.349030,0.017664,0.038361,0.023454,0.090081,0.247959,0.018433,0.038925,0.024323,0.089691,0.249847,0.038986,0.082209,0.076141,0.193726,0.449732,0.039185,0.081696,0.072998,0.192490,0.450577,0.066148,0.148588,0.091991,0.348644,0.918440,1.000000,0.532153,0.186863,0.494273,1.000000,0.776759,0.778536,0.799000,0.166087,0.260981,9.553003,18.765865,27.398030,3.875931,0.691988,60.998425,0.045297,0.024890,0.020408,0.706532,0.306420,0.622253,0.723351,-3.092839,0.567358,2.330335,0.451037,45.257449,2.782493,0.416487,0.217595,0.453502,0.819261,0.485584,0.296821,0.632796,0.467017,0.566280,0.482174,1.838269,
413,0.028335,0.061293,0.050624,0.139433,0.271722,0.027771,0.058899,0.046814,0.132294,0.261139,0.033756,0.075430,0.069319,0.179563,0.334665,0.032486,0.071564,0.066757,0.173004,0.326630,0.023468,0.049327,0.036293,0.109678,0.225671,0.023987,0.050385,0.036591,0.110443,0.226669,0.050446,0.108068,0.107132,0.251989,0.453115,0.049118,0.108139,0.107468,0.251480,0.454758,0.089427,0.193442,0.159770,0.440054,0.857560,1.000000,0.687279,0.337428,0.661211,1.000000,0.594490,0.630171,0.728895,-0.021939,0.395203,4.798397,18.766235,19.686022,3.602439,0.603040,35.436725,0.043627,0.001089,0.042538,0.761300,0.223084,0.502197,0.632395,-2.612513,0.418103,1.726584,0.221060,16.364076,1.812765,0.335025,0.207117,0.328104,0.692453,0.441262,0.351622,0.527518,0.388151,0.454238,0.398693,2.361704,
414,0.022146,0.057560,0.038742,0.134499,0.294057,0.021240,0.057617,0.035675,0.130829,0.289734,0.027445,0.072270,0.055471,0.172298,0.351090,0.026382,0.070007,0.053009,0.168640,0.343903,0.017690,0.042803,0.025917,0.101656,0.244501,0.018127,0.043427,0.025970,0.102402,0.249054,0.038849,0.106369,0.091832,0.241130,0.471507,0.038620,0.105835,0.091858,0.238831,0.466309,0.066813,0.173659,0.116883,0.405780,0.887164,1.000000,0.638684,0.245043,0.594920,1.000000,0.702103,0.728070,0.775831,0.144938,0.367734,7.644325,18.761900,29.209995,3.411058,0.631219,45.476767,0.054234,0.022141,0.032093,0.730467,0.316561,0.578518,0.678015,-2.478226,0.491055,2.108874,0.407006,30.616214,2.413406,0.397012,0.192789,0.382759,0.776129,0.491841,0.315370,0.597637,0.441791,0.593213,0.455402,2.126552,
415,0.023248,0.059690,0.034250,0.128033,0.235765,0.023560,0.061157,0.034729,0.126770,0.232666,0.029349,0.074573,0.044951,0.161847,0.281769,0.028076,0.072433,0.043335,0.157516,0.272339,0.016714,0.042784,0.023013,0.096044,0.191960,0.016876,0.044403,0.023163,0.099121,0.196793,0.050034,0.105845,0.072245,0.236593,0.388494,0.050186,0.104385,0.069412,0.235764,0.383789,0.083642,0.214752,0.123227,0.460640,0.848240,1.000000,0.781510,0.264468,0.701029,1.000000,0.689744,0.700072,0.722629,0.024538,0.297204,6.621733,18.758468,30.193342,2.312091,0.543511,38.608562,0.061881,0.037178,0.024703,0.600803,0.354002,0.487267,0.603472,-2.823504,0.410608,1.987849,0.514078,23.412197,2.213288,0.329867,0.200250,0.306797,0.752198,0.512814,0.286936,0.537865,0.386150,0.633107,0.387967,2.685468,
416,0.025250,0.056801,0.037799,0.122436,0.269856,0.024445,0.052673,0.033417,0.113007,0.262939,0.030499,0.073799,0.054797,0.159353,0.325679,0.029175,0.069122,0.051025,0.152084,0.318176,0.020836,0.045174,0.028351,0.095964,0.222608,0.021149,0.045593,0.028198,0.096344,0.223679,0.044805,0.108465,0.096375,0.226802,0.435226,0.043961,0.107834,0.095413,0.223328,0.428757,0.082750,0.186153,0.123878,0.401257,0.884390,1.000000,0.657414,0.256174,0.586650,1.000000,0.697338,0.706732,0.748244,0.033594,0.285363,6.793506,18.763349,22.670876,3.168138,0.639410,44.192148,0.050554,0.022885,0.027669,0.694145,0.288144,0.534341,0.654980,-3.045639,0.485719,2.013937,0.401226,41.041089,2.253082,0.363805,0.215793,0.382206,0.757891,0.476070,0.308136,0.570432,0.416540,0.540670,0.426293,2.153844,
417,0.023593,0.055402,0.031811,0.121667,0.285929,0.023224,0.053131,0.029694,0.117188,0.279999,0.028583,0.072741,0.042686,0.161260,0.372165,0.027557,0.071564,0.039780,0.157852,0.371414,0.019024,0.040137,0.024013,0.085651,0.204348,0.019455,0.039688,0.024689,0.083801,0.206757,0.042130,0.103388,0.088120,0.227488,0.492116,0.042526,0.103119,0.088562,0.227280,0.489883,0.074165,0.174157,0.100000,0.382464,0.898827,1.000000,0.621256,0.205551,0.552166,1.000000,0.751832,0.747868,0.761718,0.077740,0.223385,8.355542,18.761303,24.704098,2.976358,0.648558,48.746716,0.055399,0.034456,0.020943,0.692065,0.325244,0.557694,0.672008,-3.250528,0.514843,2.194566,0.493523,50.268582,2.554472,0.402731,0.218505,0.402941,0.793050,0.496811,0.284683,0.597613,0.442475,0.587301,0.452335,2.067858,
