treeID,ARVI,ARVI2,BNDVI,BWDRVI,CI,CIG,CIVE,CRI1,CVI,DATT1,DATT6,ExG,EXGR,ExR,EVI,GLI,GBNDVI,GNDVI1,IF,LCI,LogR,MGRVI,mSR,MSR1,MTVI1,NBlue,NDRE,NDVI,NGreen,NRed,OSAVI,RDVI1,RGBVI,SAVI,TCI
376,0.728209,0.748447,0.788842,0.172066,0.356559,8.284601,18.762389,28.170529,3.701234,0.640928,44.802434,0.053057,0.023285,0.029772,0.773623,0.313413,0.602476,0.699851,-2.577940,0.509191,2.192514,0.410810,30.108675,2.547003,0.433694,0.196864,0.396528,0.793545,0.490102,0.313034,0.627413,0.469095,0.584905,0.487638,2.036620
377,0.708554,0.719622,0.743587,0.064824,0.304570,7.038903,18.756148,25.403141,2.621891,0.612742,36.874563,0.066844,0.038882,0.027962,0.740598,0.344087,0.523236,0.634557,-2.808068,0.472046,2.057004,0.493670,42.024513,2.314561,0.403815,0.200969,0.364294,0.768907,0.507039,0.291992,0.590659,0.436049,0.621744,0.449107,2.279397
378,0.711486,0.720867,0.753618,0.066219,0.293504,7.278460,18.762785,26.024594,3.026421,0.633153,43.463530,0.052029,0.026796,0.025232,0.667531,0.313647,0.542699,0.656903,-2.897698,0.488684,2.073180,0.443072,36.187109,2.349730,0.366639,0.208941,0.381459,0.769972,0.490148,0.300911,0.578307,0.420918,0.578137,0.430673,2.160609
379,0.212500,0.236668,0.497073,-0.495487,0.369417,1.115977,18.778864,4.886916,2.843268,0.535688,17.556382,0.010904,-0.062864,0.073768,-4.044228,0.030971,0.170207,0.416809,-4.253719,0.190211,0.746097,-0.140880,4.172711,0.630153,0.133438,0.251462,0.163229,0.356126,0.347390,0.401147,0.266671,0.193432,0.089934,0.197789,4.122411
380,0.745725,0.752367,0.774177,0.123140,0.277054,8.443906,18.761735,27.501369,3.179420,0.653148,48.361559,0.054547,0.030616,0.023932,0.706211,0.330711,0.577123,0.681997,-2.874226,0.520904,2.210410,0.476643,44.090349,2.577281,0.402748,0.207221,0.408407,0.796895,0.499890,0.292890,0.608172,0.447969,0.600639,0.460441,2.030409
381,0.843769,0.829241,0.820253,0.244989,0.143549,13.709108,18.768542,40.096542,3.590462,0.726404,94.810734,0.039983,0.029412,0.010571,0.587379,0.364120,0.660156,0.750102,-3.305249,0.627482,2.647460,0.586878,79.119268,3.411201,0.383483,0.220932,0.508462,0.862599,0.518533,0.260535,0.620192,0.452844,0.639779,0.455782,1.703276
382,0.648387,0.663732,0.703595,-0.031115,0.316265,5.564801,18.758159,25.044870,2.325368,0.544260,30.963513,0.062172,0.032178,0.029994,0.658904,0.329191,0.455584,0.580369,-2.747846,0.393793,1.846078,0.460190,20.439438,1.990486,0.327121,0.201714,0.296774,0.721138,0.498978,0.299308,0.526855,0.378899,0.600640,0.383739,2.747606
383,0.757427,0.776516,0.796880,0.240203,0.369398,9.437129,18.761206,40.500435,3.239708,0.656691,57.123987,0.056368,0.033010,0.023358,0.662610,0.373010,0.614633,0.699670,-2.464898,0.537518,2.319797,0.514084,29.650076,2.763152,0.407873,0.182769,0.420311,0.817535,0.523383,0.293848,0.617262,0.455084,0.668100,0.466204,1.981125
384,0.779910,0.788444,0.793552,0.224935,0.295691,10.361003,18.755772,32.099076,2.938516,0.643851,44.209945,0.068256,0.044190,0.024066,0.779846,0.392336,0.608667,0.695781,-2.610389,0.533528,2.394460,0.567170,42.205343,2.908539,0.482528,0.189260,0.412512,0.827730,0.535302,0.275437,0.660185,0.497957,0.684288,0.518316,2.023154
385,0.575361,0.616006,0.709543,-0.031377,0.418581,4.466144,18.759941,20.821876,2.990501,0.531954,26.407103,0.057730,0.012660,0.045070,0.784743,0.263362,0.466722,0.593488,-2.404625,0.361835,1.675016,0.286817,13.101210,1.735644,0.348735,0.194987,0.274381,0.680347,0.462743,0.342270,0.525634,0.388015,0.519167,0.400802,2.788691
